"route","stop_order","stop","lat","lon","geocode_status","display_name"
"115","8","الحلمية","30.1125623","31.3342801","matched","الحلمية, القاهرة, 18511, مصر"
"115","9","التجنيد","30.1063333","31.3241048","matched","كوبري التجنيد, الزيتون البحريه, حدائق الزيتون, القاهرة, 11849, مصر"
"115","10","المحكمة","29.9687916","31.2396683","matched","المحكمة الدستورية, شارع كورنيش النيل, طره الاسمنت, المعادى, طرة, القاهرة, 11917, مصر"
"115","11","هارون","30.1011092","31.3327620","matched","هارون, شارع ابو بكر الصديق, مصر الجديدة, القاهرة, 11757, مصر"
"115","12","سفير","29.9942486","31.3187478","matched","سفير, شارع محمد محمود, الحى 6, القاهرة, 11571, مصر"
"115","13","السبع عمارات","29.7884293","31.3115761","matched","شارع السبع عمارات, حى السبع عمارات, حلوان, القاهرة, 11912, مصر"
"115","14","الميرغني","30.0815072","31.3317412","matched","مستشفى الميرغنى, شارع محمود ابو الليل, الجولف, مدينة نصر, القاهرة, 11736, مصر"
"115","15","كلية البنات","30.0815942","31.3290937","matched","كلية البنات, شارع مصطفي رجب, الجولف, مدينة نصر, القاهرة, 11736, مصر"
"115","16","عمارات المروة","30.0787463","31.3276079","matched","عمارات المروة, مدينة نصر, القاهرة, مصر"
"115","17","خضر التوني","30.0740641","31.3195795","matched","شارع خضر التوني, عمارات التوفيق, مدينة نصر, القاهرة, 11759, مصر"
"115","18","شارع الطيران","30.0385988","31.3314522","matched","شارع الطيران, الحى 6, مدينة نصر, القاهرة, 11717, مصر"
"115","19","فندق سونستا","","","not_found",""
"115","20","وزارة الدفاع","30.0723194","31.3266890","matched","وزارة الدفاع, شارع خضر التونى, الجولف, مدينة نصر, القاهرة, 11759, مصر"
"115","21","رابعة","30.0689548","31.3220029","matched","رابعة العدوية, مدينة نصر, القاهرة, 11759, مصر"
"115","22","التأمين الصحي","30.0580073","31.3263503","matched","كوبرى التأمين الصحى, مدينة نصر, القاهرة, 11371, مصر"
